Anecdote,Testimony,Statistics/Study,Assumption,Other,None,Definition,text,wording,content
0.9804033041000366,0.0063500991091132,0.005668616387993,0.0036737679038196,0.0019955346360802,0.0011030393652617,0.0008057177765294,"In the social pyramid of ancient Egypt the pharaoh and those associated with working with vizier were scribes who helped in keeping government records, and slaves who were involved in building such structures as pyramids :D craftmans made and sold jewelry,tools,pottery and other things, slaves and farmers were at the bottom of the pyramid but farmers could make their way up in the social class while slaves would stay the same.",0.424365334346972,-0.0772666448403481
0.7519242763519287,0.0769133567810058,0.1431028693914413,0.0011831193696707,0.0143987238407135,0.0016006140504032,0.0108770299702882,"Aristotle claims that an ideal tragedy should include a complex plan that excites pity and fear in the hearts of the audience. He also states that the plot should not satisfy the moral sense, but should inspire pity and fear, as a Tragedy should.  Lastly, Aristotle states that the change of fortune should be from good to bad and should not result from a vice, but instead from an error or fragility in a character. ",-0.634924456786451,0.559070107442079
0.759785532951355,0.0059410175308585,0.0032265717163681,0.2230509966611862,0.0028203609399497,0.0018464715685695,0.0033291224390268,"The ancient Egyptian system of government was shaped like a pyramid, different classes were located at different places of the pyramid. Slaves and farmers were put at the very bottom.  Pharoahs, nobles, and priests were put  at the very top of the pyramid. Everyone else was put somewhere in the middle. The people at the top could command the people below them.  For example, in paragraph 4 it says ""The pharaoh appointed a chief minister called a vizier as a supervisor. The vizier ensured that taxes were collected.""  However, the people at the bottom could still work their way up.  This is shown in the text on paragraph 13  when it says "" It was possible for a boy born on a barn to work his way up into the higher ranks of the government.""",2.38944309066188,1.3760827402301
0.0044050980359315,0.0007922596414573,0.0002695375878829,0.9883720278739928,0.0010026798117905,0.0017360094934701,0.0034224523697048,"They put pickle in them to mask the smell of rotting meat. The spoiled meat that they didn put pickle in was cut up and put into sausage or cans so people couldn tell or were basicly turned into chemical soup as meat. ¨whenever meat was so spoiled that it could not be used for anything else, either to can it or else to chop it up into sausage ... pickle which destroyed the odor ... chemistry which they performed, giving to any sort of meat ... any color and any flavor and any odor they chose ... dosed with borax and glycerin¨",-0.168733888829912,0.297030624358104
0.4201723039150238,0.0047017601318657,0.0021924048196524,0.5631041526794434,0.0029413760639727,0.0029769418761134,0.003911096137017,"""whenever meat was so spoiled that it could not be used for anything else, either to can it or else to chop it up into sausage.""  that is one of the lines from the first paragraph and I used that one because it even says that if it was spoiled they still used it.   My guess is that they chopped it up because it would be harder to tell if the sausage was spoiled or not because if it is chopped up you can't really see the mold.  that may be wrong but that is just my geuss.",0.503832933489619,-0.0938138317174397
0.9813227653503418,0.0048767728731036,0.003886621678248,0.0060637663118541,0.0017919255187734,0.0013650280889123,0.0006929544033482,"the workers of the facotry were a main factor in the health of these meats and were never inspected. The mean would be stored in room tempatures, left for other live animals to eat, chemically enhaced and colored, and even lied about sausge actually being meat and just used gelatin and meat flavored water. They had tried to keep the rats away with poision but this made things even worse combining poision rats and meat into sausges, they used chemicals to hide the smell of the rotten meat. ",1.18105599488766,0.927111461054961
0.9795019030570984,0.0068646436557173,0.0063410848379135,0.0032703520264476,0.0020842459052801,0.0010947650298476,0.00084293395048,"They would rub it with soda to take away the smell. ""Also of all the miracles of chemistry which they performed, giving to any sort of meat, fresh or salted, whole or chopped, any color and any flavor and any odor they chose."" This means that they made it so the spoiled meat seemed normal, when in actuality it was very dangerous. ",-0.594710121694779,0.0888824040334871
0.9737338423728944,0.0045330608263611,0.0032143190037459,0.014784493483603,0.0016925684176385,0.0011309003457427,0.0009107784135267,The Third Wave developed over such a short period of time because of the engagement of the students and how they were doing on the experiment like they would tell if someone failed to do what they were supposed to. The experiment was ended because it was to demonstrate how people willingly create a snse of superiority over others and how this can lead people to justify doing horrible things in the name of the states honor.,0.707286767793696,0.231871440554013
0.128862202167511,0.0029109274037182,0.0012175975134596,0.8585214614868164,0.0021272238809615,0.0022031418047845,0.004157455638051,"The meat factories would cover up spoiled meat in several ways such as chopping it up into sausage as seen in paragraph one. They would also rub the meat with soda to take away the odor, and added stronger pickles to hide odors, they extracted the bone and insderted a white-hot iron to spoiled foods; all of these examples are used in paragraph two. Paragraph three revealed how they would cut up spoiled ham and mix it with other meats to hide the odor and douse it with borax and glycerin. ",-0.168733888829912,0.297030624358104
0.9814629554748536,0.0056221070699393,0.0047488515265285,0.0043345796875655,0.0018895491957664,0.001201651408337,0.0007402209448628,when the meat was actually spoiled they would just mix it with the other meat so none would know. They would also put pickles in the meat and put soda on the meat to give it a sweet taste. They would also use boarx and geltain to make it looked smoked ,0.503832933489619,-0.0938138317174397
