wellformed_score,text,wellformed_score_float,wording_score,content_score
tensor(0.1150),"In the social pyramid of ancient Egypt the pharaoh and those associated with working with vizier were scribes who helped in keeping government records, and slaves who were involved in building such structures as pyramids :D craftmans made and sold jewelry,tools,pottery and other things, slaves and farmers were at the bottom of the pyramid but farmers could make their way up in the social class while slaves would stay the same.",0.11495041847229004,0.424365334346972,-0.0772666448403481
tensor(0.7569),"Aristotle claims that an ideal tragedy should include a complex plan that excites pity and fear in the hearts of the audience. He also states that the plot should not satisfy the moral sense, but should inspire pity and fear, as a Tragedy should.  Lastly, Aristotle states that the change of fortune should be from good to bad and should not result from a vice, but instead from an error or fragility in a character. ",0.7568870186805725,-0.634924456786451,0.559070107442079
tensor(0.6793),"The ancient Egyptian system of government was shaped like a pyramid, different classes were located at different places of the pyramid. Slaves and farmers were put at the very bottom.  Pharoahs, nobles, and priests were put  at the very top of the pyramid. Everyone else was put somewhere in the middle. The people at the top could command the people below them.  For example, in paragraph 4 it says ""The pharaoh appointed a chief minister called a vizier as a supervisor. The vizier ensured that taxes were collected.""  However, the people at the bottom could still work their way up.  This is shown in the text on paragraph 13  when it says "" It was possible for a boy born on a barn to work his way up into the higher ranks of the government.""",0.6793335676193237,2.38944309066188,1.3760827402301
tensor(0.3751),"They put pickle in them to mask the smell of rotting meat. The spoiled meat that they didn put pickle in was cut up and put into sausage or cans so people couldn tell or were basicly turned into chemical soup as meat. ¨whenever meat was so spoiled that it could not be used for anything else, either to can it or else to chop it up into sausage ... pickle which destroyed the odor ... chemistry which they performed, giving to any sort of meat ... any color and any flavor and any odor they chose ... dosed with borax and glycerin¨",0.37510383129119873,-0.168733888829912,0.297030624358104
tensor(0.5322),"""whenever meat was so spoiled that it could not be used for anything else, either to can it or else to chop it up into sausage.""  that is one of the lines from the first paragraph and I used that one because it even says that if it was spoiled they still used it.   My guess is that they chopped it up because it would be harder to tell if the sausage was spoiled or not because if it is chopped up you can't really see the mold.  that may be wrong but that is just my geuss.",0.5321583151817322,0.503832933489619,-0.0938138317174397
tensor(0.2464),"the workers of the facotry were a main factor in the health of these meats and were never inspected. The mean would be stored in room tempatures, left for other live animals to eat, chemically enhaced and colored, and even lied about sausge actually being meat and just used gelatin and meat flavored water. They had tried to keep the rats away with poision but this made things even worse combining poision rats and meat into sausges, they used chemicals to hide the smell of the rotten meat. ",0.246371790766716,1.18105599488766,0.927111461054961
tensor(0.5292),"They would rub it with soda to take away the smell. ""Also of all the miracles of chemistry which they performed, giving to any sort of meat, fresh or salted, whole or chopped, any color and any flavor and any odor they chose."" This means that they made it so the spoiled meat seemed normal, when in actuality it was very dangerous. ",0.529184877872467,-0.594710121694779,0.0888824040334871
tensor(0.3166),The Third Wave developed over such a short period of time because of the engagement of the students and how they were doing on the experiment like they would tell if someone failed to do what they were supposed to. The experiment was ended because it was to demonstrate how people willingly create a snse of superiority over others and how this can lead people to justify doing horrible things in the name of the states honor.,0.31661510467529297,0.707286767793696,0.231871440554013
tensor(0.6631),"The meat factories would cover up spoiled meat in several ways such as chopping it up into sausage as seen in paragraph one. They would also rub the meat with soda to take away the odor, and added stronger pickles to hide odors, they extracted the bone and insderted a white-hot iron to spoiled foods; all of these examples are used in paragraph two. Paragraph three revealed how they would cut up spoiled ham and mix it with other meats to hide the odor and douse it with borax and glycerin. ",0.6631339192390442,-0.168733888829912,0.297030624358104
tensor(0.6798),when the meat was actually spoiled they would just mix it with the other meat so none would know. They would also put pickles in the meat and put soda on the meat to give it a sweet taste. They would also use boarx and geltain to make it looked smoked ,0.6798360347747803,0.503832933489619,-0.0938138317174397
